run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-15-20240904-20:32:37-25926,runattr,,,seedset,15,,,
General-15-20240904-20:32:37-25926,param,,,RandomGrid.poweroff_rate,90,,,
General-15-20240904-20:32:37-25926,param,,,RandomGrid.g_syn_scheme,0,,,
General-15-20240904-20:32:37-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-15-20240904-20:32:37-25926,param,,,RandomGrid.g_ic_num,6,,,
General-15-20240904-20:32:37-25926,param,,,RandomGrid.g_energy_model,0,,,
General-15-20240904-20:32:37-25926,param,,,RandomGrid.sink.node_type,0,,,
General-15-20240904-20:32:37-25926,param,,,RandomGrid.icc.node_type,2,,,
General-15-20240904-20:32:37-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-15-20240904-20:32:37-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-8-20240904-20:31:48-25926,runattr,,,configname,General,,,
General-8-20240904-20:31:48-25926,runattr,,,datetime,20240904-20:31:48,,,
General-8-20240904-20:31:48-25926,runattr,,,experiment,General,,,
General-8-20240904-20:31:48-25926,runattr,,,inifile,omnetpp.ini,,,
General-8-20240904-20:31:48-25926,runattr,,,iterationvars,"$0=10, $1=2",,,
General-8-20240904-20:31:48-25926,runattr,,,iterationvarsf,"10,2-",,,
General-8-20240904-20:31:48-25926,runattr,,,measurement,"$0=10, $1=2",,,
General-8-20240904-20:31:48-25926,runattr,,,network,RandomGrid,,,
General-8-20240904-20:31:48-25926,runattr,,,processid,25926,,,
General-8-20240904-20:31:48-25926,runattr,,,repetition,0,,,
General-8-20240904-20:31:48-25926,runattr,,,replication,#0,,,
General-8-20240904-20:31:48-25926,runattr,,,resultdir,results,,,
General-8-20240904-20:31:48-25926,runattr,,,runnumber,8,,,
General-8-20240904-20:31:48-25926,runattr,,,seedset,8,,,
General-8-20240904-20:31:48-25926,param,,,RandomGrid.poweroff_rate,10,,,
General-8-20240904-20:31:48-25926,param,,,RandomGrid.g_syn_scheme,2,,,
General-8-20240904-20:31:48-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-8-20240904-20:31:48-25926,param,,,RandomGrid.g_ic_num,6,,,
General-8-20240904-20:31:48-25926,param,,,RandomGrid.g_energy_model,0,,,
General-8-20240904-20:31:48-25926,param,,,RandomGrid.sink.node_type,0,,,
General-8-20240904-20:31:48-25926,param,,,RandomGrid.icc.node_type,2,,,
General-8-20240904-20:31:48-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-8-20240904-20:31:48-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-10-20240904-20:32:01-25926,runattr,,,configname,General,,,
General-10-20240904-20:32:01-25926,runattr,,,datetime,20240904-20:32:01,,,
General-10-20240904-20:32:01-25926,runattr,,,experiment,General,,,
General-10-20240904-20:32:01-25926,runattr,,,inifile,omnetpp.ini,,,
General-10-20240904-20:32:01-25926,runattr,,,iterationvars,"$0=50, $1=1",,,
General-10-20240904-20:32:01-25926,runattr,,,iterationvarsf,"50,1-",,,
General-10-20240904-20:32:01-25926,runattr,,,measurement,"$0=50, $1=1",,,
General-10-20240904-20:32:01-25926,runattr,,,network,RandomGrid,,,
General-10-20240904-20:32:01-25926,runattr,,,processid,25926,,,
General-10-20240904-20:32:01-25926,runattr,,,repetition,0,,,
General-10-20240904-20:32:01-25926,runattr,,,replication,#0,,,
General-10-20240904-20:32:01-25926,runattr,,,resultdir,results,,,
General-10-20240904-20:32:01-25926,runattr,,,runnumber,10,,,
General-10-20240904-20:32:01-25926,runattr,,,seedset,10,,,
General-10-20240904-20:32:01-25926,param,,,RandomGrid.poweroff_rate,50,,,
General-10-20240904-20:32:01-25926,param,,,RandomGrid.g_syn_scheme,1,,,
General-10-20240904-20:32:01-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-10-20240904-20:32:01-25926,param,,,RandomGrid.g_ic_num,6,,,
General-10-20240904-20:32:01-25926,param,,,RandomGrid.g_energy_model,0,,,
General-10-20240904-20:32:01-25926,param,,,RandomGrid.sink.node_type,0,,,
General-10-20240904-20:32:01-25926,param,,,RandomGrid.icc.node_type,2,,,
General-10-20240904-20:32:01-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-10-20240904-20:32:01-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-6-20240904-20:31:32-25926,runattr,,,configname,General,,,
General-6-20240904-20:31:32-25926,runattr,,,datetime,20240904-20:31:32,,,
General-6-20240904-20:31:32-25926,runattr,,,experiment,General,,,
General-6-20240904-20:31:32-25926,runattr,,,inifile,omnetpp.ini,,,
General-6-20240904-20:31:32-25926,runattr,,,iterationvars,"$0=10, $1=0",,,
General-6-20240904-20:31:32-25926,runattr,,,iterationvarsf,"10,0-",,,
General-6-20240904-20:31:32-25926,runattr,,,measurement,"$0=10, $1=0",,,
General-6-20240904-20:31:32-25926,runattr,,,network,RandomGrid,,,
General-6-20240904-20:31:32-25926,runattr,,,processid,25926,,,
General-6-20240904-20:31:32-25926,runattr,,,repetition,0,,,
General-6-20240904-20:31:32-25926,runattr,,,replication,#0,,,
General-6-20240904-20:31:32-25926,runattr,,,resultdir,results,,,
General-6-20240904-20:31:32-25926,runattr,,,runnumber,6,,,
General-6-20240904-20:31:32-25926,runattr,,,seedset,6,,,
General-6-20240904-20:31:32-25926,param,,,RandomGrid.poweroff_rate,10,,,
General-6-20240904-20:31:32-25926,param,,,RandomGrid.g_syn_scheme,0,,,
General-6-20240904-20:31:32-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-6-20240904-20:31:32-25926,param,,,RandomGrid.g_ic_num,6,,,
General-6-20240904-20:31:32-25926,param,,,RandomGrid.g_energy_model,0,,,
General-6-20240904-20:31:32-25926,param,,,RandomGrid.sink.node_type,0,,,
General-6-20240904-20:31:32-25926,param,,,RandomGrid.icc.node_type,2,,,
General-6-20240904-20:31:32-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-6-20240904-20:31:32-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-12-20240904-20:32:14-25926,runattr,,,configname,General,,,
General-12-20240904-20:32:14-25926,runattr,,,datetime,20240904-20:32:14,,,
General-12-20240904-20:32:14-25926,runattr,,,experiment,General,,,
General-12-20240904-20:32:14-25926,runattr,,,inifile,omnetpp.ini,,,
General-12-20240904-20:32:14-25926,runattr,,,iterationvars,"$0=70, $1=0",,,
General-12-20240904-20:32:14-25926,runattr,,,iterationvarsf,"70,0-",,,
General-12-20240904-20:32:14-25926,runattr,,,measurement,"$0=70, $1=0",,,
General-12-20240904-20:32:14-25926,runattr,,,network,RandomGrid,,,
General-12-20240904-20:32:14-25926,runattr,,,processid,25926,,,
General-12-20240904-20:32:14-25926,runattr,,,repetition,0,,,
General-12-20240904-20:32:14-25926,runattr,,,replication,#0,,,
General-12-20240904-20:32:14-25926,runattr,,,resultdir,results,,,
General-12-20240904-20:32:14-25926,runattr,,,runnumber,12,,,
General-12-20240904-20:32:14-25926,runattr,,,seedset,12,,,
