Time [s],Channel 2,Channel 13
93.312021000,0,1
93.313905000,0,0
93.315788000,0,1
93.317673000,0,0
93.319555000,0,1
93.321438000,0,0
93.323321000,0,1
93.325204000,0,0
93.327087000,0,1
93.328970000,0,0
93.330855000,0,1
93.332738000,0,0
93.334622000,0,1
93.336505000,0,0
93.338390000,0,1
93.340273000,0,0
93.342156000,0,1
93.344039000,0,0
93.345922000,0,1
93.347805000,0,0
93.349689000,0,1
93.351572000,0,0
93.353455000,0,1
93.355339000,0,0
93.357222000,0,1
93.359106000,0,0
93.360989000,0,1
93.362874000,0,0
93.364757000,0,1
93.366640000,0,0
93.368523000,0,1
93.370407000,0,0
93.372290000,0,1
93.374173000,0,0
93.376056000,0,1
93.377939000,0,0
93.379823000,0,1
93.381706000,0,0
93.383591000,0,1
93.385474000,0,0
93.387358000,0,1
93.389241000,0,0
93.391125000,0,1
93.393008000,0,0
93.394891000,0,1
93.396774000,0,0
93.398657000,0,1
93.400540000,0,0
93.402423000,0,1
93.404307000,0,0
93.406190000,0,1
93.408075000,0,0
93.409958000,0,1
93.411842000,0,0
93.413725000,0,1
93.415608000,0,0
93.417491000,0,1
93.419374000,0,0
93.421257000,0,1
93.423141000,0,0
93.425024000,0,1
93.426907000,0,0
93.428791000,0,1
93.430674000,0,0
93.432559000,0,1
93.434442000,0,0
93.436326000,0,1
93.438209000,0,0
93.440093000,0,1
93.441977000,0,0
93.443861000,0,1
93.445744000,0,0
93.447627000,0,1
93.449510000,0,0
93.451393000,0,1
93.453277000,0,0
93.455160000,0,1
93.457044000,0,0
93.458927000,0,1
93.460811000,0,0
93.462694000,0,1
93.464577000,0,0
93.466460000,0,1
93.468343000,0,0
93.470226000,0,1
93.472110000,0,0
93.473993000,0,1
93.475876000,0,0
93.477760000,0,1
93.479643000,0,0
93.481527000,0,1
93.483410000,0,0
93.485293000,0,1
93.487176000,0,0
93.489058000,0,1
93.490941000,0,0
93.492826000,0,1
93.494708000,0,0
93.496592000,0,1
93.498475000,0,0
93.500358000,0,1
93.502243000,0,0
93.504125000,0,1
93.506009000,0,0
93.507892000,0,1
93.509775000,0,0
93.511658000,0,1
93.513542000,0,0
93.515425000,0,1
93.517308000,0,0
93.519191000,0,1
93.521074000,0,0
93.522957000,0,1
93.524840000,0,0
93.526724000,0,1
93.528607000,0,0
93.530491000,0,1
93.532374000,0,0
93.534258000,0,1
93.536141000,0,0
93.538023000,0,1
93.539906000,0,0
93.541789000,0,1
93.543672000,0,0
93.545556000,0,1
93.547439000,0,0
93.549322000,0,1
93.551206000,0,0
93.553089000,0,1
93.554973000,0,0
93.556856000,0,1
93.558739000,0,0
93.560622000,0,1
93.562505000,0,0
93.564388000,0,1
93.566272000,0,0
