Time [s],Channel 4,Channel 8
16225.418975840,0,0
16231.519784800,0,1
16231.623393920,1,1
16231.726343840,0,1
16231.768398240,0,0
16247.193628160,0,1
16247.348636320,0,0
16250.395059200,1,0
16250.395059360,0,0
16250.558217120,1,0
16250.665100160,0,0
16676.579297600,1,0
16676.829525440,0,0
16686.376907520,0,1
16686.483376960,0,0
16689.513239040,0,1
16689.630528160,0,0
16698.759954240,0,1
16699.091925760,0,0
16699.091926720,0,1
16699.091927360,0,0
16708.313677120,1,0
16708.426059680,0,0
16711.573492480,1,0
16711.574249440,0,0
16711.668518880,0,1
16711.785536640,0,0
16717.836696160,0,1
16717.952637920,0,0
16724.095885920,1,0
16724.202224800,0,0
17146.966280000,1,0
17147.236361440,0,0
17159.916909600,0,1
17160.045469120,0,0
17160.045470080,0,1
17160.045470560,0,0
17163.047137600,0,1
17163.150225120,0,0
17166.172710080,1,0
17166.276024640,0,0
17175.593623200,0,1
17175.694699680,0,0
17184.834363680,0,1
17184.997462880,0,0
17185.102856480,1,0
17185.207769280,0,0
17188.135591200,0,1
17188.262011040,0,0
17194.397565120,0,1
17194.996530080,0,0
17197.631474400,1,0
17197.632306880,0,0
17210.294241600,0,1
17210.405543040,0,0
17614.613272320,0,1
17614.717696960,0,0
17617.745144000,0,1
17617.860289600,0,0
17620.952862400,1,0
17620.955345920,0,0
17646.006140640,1,0
17646.112751680,0,0
17664.621599680,0,1
17664.900506080,0,0
17664.900507200,0,1
17664.900507520,0,0
17670.898368480,0,1
17671.027168000,1,1
17671.027168160,0,1
17671.155687840,1,1
17671.173924480,1,0
17671.173925440,1,1
17671.173926400,1,0
17671.271326880,0,0
18094.026409760,1,0
18094.026409920,0,0
18094.234800160,0,1
18094.399781280,0,0
18103.506309440,1,0
18103.506309600,0,0
18109.914304480,0,1
18110.074131200,0,0
18113.052305920,0,1
18113.136130720,1,1
18113.239074560,0,1
18113.324983840,0,0
18116.346607680,0,1
18116.465071680,0,0
18122.457632480,0,1
18122.624971200,0,0
18131.865268160,0,1
18131.909428640,1,1
18132.181859840,0,1
18132.373864480,0,0
18135.225817120,1,0
18135.330789760,0,0
18157.341286720,0,1
18157.447866400,0,0
18558.079943040,1,0
18558.245217440,0,0
18577.320047360,0,1
18577.435963680,0,0
18583.595718880,0,1
18583.690892640,0,0
18586.522252160,1,0
18586.522252320,0,0
18595.965641920,1,0
18595.965642080,0,0
18595.967684320,0,1
18596.228350400,1,1
18596.238037760,1,0
18596.337244000,0,0
18602.400559840,0,1
18602.501175840,0,0
18605.601671360,1,0
18605.711759680,0,0
18612.013529440,1,0
18612.014278720,0,0
18615.169184960,0,1
18615.282222720,0,0
18621.377679040,1,0
18621.378443360,0,0
18624.566524640,0,1
18624.680762080,0,0
19031.623113920,1,0
19031.623114080,0,0
19031.974735200,1,0
19032.080009280,0,0
19034.983481600,0,1
19035.250793440,0,0
19044.391088960,0,1
19044.556112480,0,0
19050.556957280,1,0
19050.822775840,0,0
19060.103961600,0,1
19060.194446560,1,1
19060.297411520,0,1
19060.586541280,0,0
19066.341239520,1,0
19066.513952960,0,0
19069.667912960,1,0
19069.668689280,0,0
19072.926536160,1,0
19072.927393120,0,0
19075.972167200,1,0
19076.009060800,1,1
19076.084410720,0,1
19076.104092160,0,0
19085.180568800,0,1
19085.180568960,0,0
19088.310356960,0,1
19088.310357120,0,0
19088.764561920,0,1
19088.767072960,0,0
19502.355523360,1,0
19502.462414240,0,0
19517.902920480,0,1
19518.044216000,1,1
19518.160017760,1,0
19518.160566880,0,0
19527.315940320,0,1
19527.582552800,0,0
19530.395679680,1,0
19530.661187040,0,0
19536.706763040,1,0
19536.981601920,0,0
19543.187747040,1,0
19543.188615360,0,0
19546.287601600,0,1
19546.395594880,0,0
19555.650711360,1,0
19555.805102880,0,0
19555.916146400,0,1
19556.033699200,0,0
19972.353215680,1,0
19972.610888000,0,0
19982.100753280,1,0
19982.306243840,0,0
19991.576249600,1,0
19991.681642720,0,0
20010.237091520,0,1
20010.504690720,1,1
20010.512599360,1,0
20010.624680320,0,0
20026.291675040,0,1
20026.403774400,0,0
20458.771055840,1,0
20458.876289920,0,0
20461.837308320,0,1
20462.076376320,0,0
20464.822983200,1,0
20465.087926080,0,0
20468.085487200,0,1
20468.248442720,0,0
20471.224220320,0,1
20471.394253440,0,0
20474.357504480,0,1
20475.285065920,0,0
20477.493445600,0,1
20478.011202080,0,0
20483.767919680,0,1
20483.930449760,0,0
